   0.00000  0.34343852E+01  0.11481774E+01  0.79695173E+00
   1.11111  0.54896504E+01  0.19849712E+01  0.15690576E+01
   2.22222  0.72214172E+01  0.26682888E+01  0.21469910E+01
   3.33333  0.84635998E+01  0.31508081E+01  0.25419582E+01
   4.44444  0.91107578E+01  0.34003382E+01  0.27438460E+01
   5.55556  0.91107578E+01  0.34003382E+01  0.27438460E+01
   6.66667  0.84635998E+01  0.31508081E+01  0.25419582E+01
   7.77778  0.72214172E+01  0.26682888E+01  0.21469910E+01
   8.88889  0.54896504E+01  0.19849712E+01  0.15690576E+01
  10.00000  0.34343852E+01  0.11481774E+01  0.79695173E+00
