---------------------------------FissionSpectrum---------------------------------
7.60721E-01 2.39102E-01 1.77303E-04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00

------------------------------------Materials------------------------------------
matID  AbsorptionXS   NuFissionXS   FixedSource  ScatteringXS  
---------------------------------------------------------------------------------
    5   6.96933E-04   0.00000E+00         0.000   0.00000E+00 4.12887E-01 4.60371E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Instrumentation - SS
    5   7.02875E-03   0.00000E+00         0.000   0.00000E+00 0.00000E+00 9.08398E-01 3.64170E-03 0.00000E+00 0.00000E+00 0.00000E+00      !Instrumentation - SS
    5   3.41651E-02   0.00000E+00         0.000   0.00000E+00 0.00000E+00 8.76723E-04 8.48488E-01 2.15395E-02 0.00000E+00 0.00000E+00      !Instrumentation - SS
    5   8.34752E-02   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 6.33439E-03 8.07149E-01 5.89226E-02 2.03209E-05      !Instrumentation - SS
    5   1.36846E-01   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 6.70411E-02 7.40493E-01 6.76816E-02      !Instrumentation - SS
    5   2.34737E-01   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 4.11219E-05 1.27276E-01 7.57978E-01      !Instrumentation - SS
---------------------------------------------------------------------------------
    6   1.04258E-03   0.00000E+00         0.000   1.56128E-01 1.87556E-02 7.18668E-06 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Pyrex Burnable Poison
    6   2.09150E-03   0.00000E+00         0.000   0.00000E+00 2.62676E-01 3.08794E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Pyrex Burnable Poison
    6   6.84747E-02   0.00000E+00         0.000   0.00000E+00 0.00000E+00 2.37136E-01 2.86412E-03 0.00000E+00 0.00000E+00 0.00000E+00      !Pyrex Burnable Poison
    6   4.81099E-01   0.00000E+00         0.000   0.00000E+00 0.00000E+00 1.17443E-04 2.25727E-01 1.47352E-02 0.00000E+00 0.00000E+00      !Pyrex Burnable Poison
    6   1.15282E+00   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 2.28430E-03 2.12028E-01 2.69563E-02 5.64850E-04      !Pyrex Burnable Poison
    6   1.92671E+00   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 3.11456E-02 1.78183E-01 3.37229E-02      !Pyrex Burnable Poison
    6   3.25267E+00   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.18307E-03 6.08107E-02 1.91812E-01      !Pyrex Burnable Poison
---------------------------------------------------------------------------------
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
    7   1.00000E-06   0.00000E+00         0.000   0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      !Air
---------------------------------------------------------------------------------
